Experiment,T,t (min),mu0,mu1,mu2,mu3,C
6,37.71,20.1,42913.510,708728.590,25789546.690,1635399148.030,0.153103
6,37.44,21.35,47796.970,898541.250,33458672.760,1970789622.690,0.153662
6,37.22,22.61667,64349.920,1068092.960,38010950.680,2168908046.320,0.151858
6,37.03,23.88333,77123.550,1303873.110,43879670.880,2596554549.560,0.150813
6,36.88,25.13333,82007.270,1352228.310,49546657.720,2968535816.780,0.151314
6,36.74,26.4,109917.480,1593021.960,52870229.770,3260082604.220,0.148870
6,36.63,27.65,113606.180,1756269.850,53036732.370,3351651707.470,0.146534
6,36.53,28.91667,127471.220,1729400.150,59572152.020,3855516664.580,0.147971
6,36.45,30.18333,141168.450,1859904.840,60748068.260,3784096994.500,0.145806
6,36.22,31.43333,146816.470,2086275.870,72433370.140,4069468888.430,0.145182
6,36.02,32.7,168143.000,2215344.410,70258760.910,4145543624.630,0.145305
6,35.84,33.96667,199901.970,2342487.410,76592440.810,4314923954.120,0.144727
6,35.68,35.21667,214483.390,2463459.860,73385548.460,4815143942.570,0.145636
6,35.54,36.48333,197763.710,2580042.030,82765885.700,4972629466.650,0.143695
6,35.42,37.73333,209840.550,2419892.610,85510817.580,4871894662.030,0.143958
6,35.31,39,245096.090,2792443.040,91605159.570,4998268946.480,0.142107
6,35.22,40.26667,233309.870,2745015.380,86829682.670,5113629229.200,0.141013
6,35.13,41.53333,231620.180,2980046.520,100028956.730,5218762847.620,0.142087
6,35.13,42.78333,241596.550,2908249.560,86975724.650,5178292503.220,0.141071
6,34.71,44.05,266084.140,2993634.400,100494232.250,5410891042.660,0.140033
6,34.36,45.31667,263384.850,3584087.590,91163668.140,5527585875.750,0.142469
6,34.06,46.58333,290547.230,3546924.060,105892351.340,5797222403.830,0.139225
6,33.8,47.83333,319194.700,3853668.130,108839914.820,5643165083.260,0.141594
6,33.59,49.1,349484.640,3450815.520,107555745.690,6069879478.450,0.139746
6,33.4,50.36667,363730.770,3759073.570,110386552.030,6202595021.320,0.137919
6,33.25,51.63333,395739.520,3493736.270,117640276.580,6329592020.410,0.139594
6,33.12,52.9,372822.670,3799559.250,115711797.860,6292254505.740,0.137125
6,33.01,54.16667,424021.210,4315184.940,118128160.410,6720498183.480,0.136769
6,33.01,55.43333,417319.820,3997357.450,120264362.150,6495570566.700,0.137834
6,32.7,56.68333,409488.310,4308340.780,127338702.460,6756634273.600,0.136137
